sitename,county,aqi,status,pm2.5,datacreationdate,longigude
小港,高雄市,106,細懸浮微粒,對敏感族群不健康,3.1,0.3
前鎮,高雄市,105,細懸浮微粒,對敏感族群不健康,2,0.3
前金,高雄市,101,細懸浮微粒,對敏感族群不健康,1.2,0.29
左營,高雄市,105,細懸浮微粒,對敏感族群不健康,1.3,0.24
楠梓,高雄市,104,細懸浮微粒,對敏感族群不健康,2,0.3
林園,高雄市,100,細懸浮微粒,普通,1.2,0.25
大寮,高雄市,99,細懸浮微粒,普通,1.5,0.32
鳳山,高雄市,105,細懸浮微粒,對敏感族群不健康,2.2,0.76
仁武,高雄市,108,細懸浮微粒,對敏感族群不健康,1.1,0.31
橋頭,高雄市,113,細懸浮微粒,對敏感族群不健康,1.6,0.33
美濃,高雄市,75,細懸浮微粒,普通,1.5,0.33
臺南,臺南市,91,細懸浮微粒,普通,1.5,0.27
安南,臺南市,91,懸浮微粒,普通,1.2,0.27
善化,臺南市,90,細懸浮微粒,普通,1.8,0.21
新營,臺南市,85,細懸浮微粒,普通,1.1,0.25
嘉義,嘉義市,81,細懸浮微粒,普通,2.1,0.29
臺西,雲林縣,65,細懸浮微粒,普通,1.5,0.21
朴子,嘉義縣,69,細懸浮微粒,普通,,
新港,嘉義縣,78,細懸浮微粒,普通,1.2,0.21
崙背,雲林縣,83,細懸浮微粒,普通,0.9,0.23
斗六,雲林縣,84,細懸浮微粒,普通,2.1,0.28
南投,南投縣,63,細懸浮微粒,普通,1.7,0.33
二林,彰化縣,72,細懸浮微粒,普通,2.3,0.21
線西,彰化縣,68,細懸浮微粒,普通,1.5,0.2
彰化,彰化縣,73,細懸浮微粒,普通,1.5,0.3
西屯,臺中市,61,細懸浮微粒,普通,1.4,0.24
忠明,臺中市,64,細懸浮微粒,普通,2.6,0.31
大里,臺中市,70,細懸浮微粒,普通,,
沙鹿,臺中市,66,細懸浮微粒,普通,1.2,0.23
豐原,臺中市,70,細懸浮微粒,普通,3.6,0.3
三義,苗栗縣,41,,良好,1.8,0.24
苗栗,苗栗縣,53,細懸浮微粒,普通,3.6,0.19
頭份,苗栗縣,51,細懸浮微粒,普通,1.6,0.21
新竹,新竹市,49,,良好,0.9,0.25
竹東,新竹縣,49,,良好,0.6,0.37
湖口,新竹縣,55,細懸浮微粒,普通,0.8,0.21
龍潭,桃園市,68,細懸浮微粒,普通,3,0.4
平鎮,桃園市,54,細懸浮微粒,普通,2.2,0.42
觀音,桃園市,43,,良好,0.7,0.18
大園,桃園市,53,細懸浮微粒,普通,3.5,0.28
桃園,桃園市,55,細懸浮微粒,普通,4,0.44
大同,臺北市,62,二氧化氮,普通,1.1,1.47
松山,臺北市,32,,良好,2,0.23
古亭,臺北市,36,,良好,1.3,0.2
萬華,臺北市,36,,良好,0.6,0.31
中山,臺北市,35,,良好,0.9,0.28
士林,臺北市,39,,良好,0.6,0.2
淡水,新北市,33,,良好,,0.29
林口,新北市,43,,良好,2,0.29
菜寮,新北市,35,,良好,0.6,0.36
新莊,新北市,38,,良好,0.5,0.22
板橋,新北市,38,,良好,0.6,0.37
土城,新北市,33,,良好,,0.3
新店,新北市,37,,良好,0.5,0.21
萬里,新北市,39,,良好,0.1,0.19
汐止,新北市,32,,良好,0.6,0.22
基隆,基隆市,39,,良好,0.8,0.2
屏東(枋山),屏東縣,105,細懸浮微粒,對敏感族群不健康,2.3,0.34
花蓮（美崙）,花蓮縣,32,,良好,0.1,0.14
新北（樹林）,新北市,59,懸浮微粒,普通,3.9,0.34
台中市（和平區消防隊）,臺中市,39,,良好,0.8,0.31
屏東（琉球）,屏東縣,105,細懸浮微粒,對敏感族群不健康,1.7,0.25
臺南（麻豆）,臺南市,82,細懸浮微粒,普通,1.8,0.2
高雄（湖內）,高雄市,130,細懸浮微粒,對敏感族群不健康,,
宜蘭（頭城）,宜蘭縣,36,,良好,1.4,0.14
員林,彰化縣,79,細懸浮微粒,普通,1.8,0.27
大城,彰化縣,59,細懸浮微粒,普通,0.9,0.16
富貴角,新北市,39,,良好,0.9,0.15
麥寮,雲林縣,65,細懸浮微粒,普通,1.2,0.2
關山,臺東縣,26,,良好,0.9,0.16
馬公,澎湖縣,54,細懸浮微粒,普通,1.2,0.18
金門,金門縣,70,細懸浮微粒,普通,1.4,0.29
馬祖,連江縣,60,懸浮微粒,普通,1.5,0.23
埔里,南投縣,34,,良好,1.3,0.28
復興,高雄市,117,細懸浮微粒,對敏感族群不健康,1.8,0.32
永和,新北市,29,,良好,0.4,0.27
竹山,南投縣,83,細懸浮微粒,普通,2.6,0.29
中壢,桃園市,65,細懸浮微粒,普通,1.6,0.6
三重,新北市,55,二氧化氮,普通,0.5,0.98
冬山,宜蘭縣,35,,良好,0.5,0.18
宜蘭,宜蘭縣,34,,良好,0.9,0.18
陽明,臺北市,40,,良好,0.8,0.21
花蓮,花蓮縣,34,,良好,1,0.2
