sitename,county,aqi,status,pm2.5,datacreationdate,longigude
新莊,新北市,38,,良好,0.6,0.49
板橋,新北市,40,,良好,1.2,0.43
土城,新北市,61,二氧化氮,普通,1.6,0.91
新店,新北市,25,,良好,0.3,0.28
萬里,新北市,21,,良好,0.3,0.22
汐止,新北市,35,,良好,0.8,0.3
基隆,基隆市,23,,良好,0.9,0.21
屏東(枋山),屏東縣,55,懸浮微粒,普通,4.8,0.46
花蓮（美崙）,花蓮縣,25,,良好,0,0.25
新北（樹林）,新北市,55,二氧化氮,普通,1.4,1.01
台中市（和平區消防隊）,臺中市,35,,良好,0.8,0.37
屏東（琉球）,屏東縣,95,細懸浮微粒,普通,7.6,0.47
臺南（麻豆）,臺南市,64,懸浮微粒,普通,1,0.42
高雄（湖內）,高雄市,91,細懸浮微粒,普通,2.7,0.54
宜蘭（頭城）,宜蘭縣,26,,良好,1.4,0.3
員林,彰化縣,84,細懸浮微粒,普通,2,0.79
大城,彰化縣,54,懸浮微粒,普通,0.7,0.17
富貴角,新北市,28,,良好,0.6,0.13
麥寮,雲林縣,47,,良好,1.2,0.21
關山,臺東縣,28,,良好,1,0.23
馬公,澎湖縣,45,,良好,1,0.19
金門,金門縣,63,細懸浮微粒,普通,1.1,0.25
馬祖,連江縣,53,細懸浮微粒,普通,1.8,0.26
埔里,南投縣,54,細懸浮微粒,普通,1.3,0.68
復興,高雄市,99,細懸浮微粒,普通,2.2,0.99
永和,新北市,52,二氧化氮,普通,1.3,1.43
竹山,南投縣,55,細懸浮微粒,普通,0.7,0.39
中壢,桃園市,60,二氧化氮,普通,,2.21
三重,新北市,62,二氧化氮,普通,1,1.16
冬山,宜蘭縣,47,,良好,0.9,0.44
宜蘭,宜蘭縣,17,,良好,1.1,0.27
陽明,臺北市,39,,良好,0.6,0.2
花蓮,花蓮縣,20,,良好,1.2,0.3
臺東,臺東縣,29,,良好,0.7,0.3
恆春,屏東縣,40,,良好,0.7,0.16
潮州,屏東縣,86,細懸浮微粒,普通,1.1,0.48
屏東,屏東縣,86,細懸浮微粒,普通,1.6,0.51
小港,高雄市,91,細懸浮微粒,普通,1.9,0.75
前鎮,高雄市,101,細懸浮微粒,對敏感族群不健康,2.4,0.78
前金,高雄市,97,細懸浮微粒,普通,2.8,0.55
左營,高雄市,99,細懸浮微粒,普通,2.7,0.55
楠梓,高雄市,91,細懸浮微粒,普通,3.3,0.4
林園,高雄市,104,細懸浮微粒,對敏感族群不健康,2.5,0.41
大寮,高雄市,96,細懸浮微粒,普通,2.5,0.51
鳳山,高雄市,103,細懸浮微粒,對敏感族群不健康,6.2,0.94
仁武,高雄市,104,細懸浮微粒,對敏感族群不健康,2.4,0.76
橋頭,高雄市,104,細懸浮微粒,對敏感族群不健康,3.2,0.45
美濃,高雄市,67,細懸浮微粒,普通,0.4,0.33
臺南,臺南市,80,細懸浮微粒,普通,2.3,0.56
安南,臺南市,70,細懸浮微粒,普通,1,0.52
